,release_date,title,production_cost,domestic_gross,worldwide_gross,opening_weekend,mpaa,genre,theaters,runtime,year,duration,country,directors,avg_vote,critics_vote,public_vote,description
26,2013-06-14,Man of Steel,225000000,291045518,667999518,116619362,PG-13,Action,4207,142,2013,135.0,"United States, Canada",Zack Snyder,5.6,5.91,5.0,"Clark Kent / Kal-El (Henry Cavill) is a 20-year-old journalist with extraordinary powers. Arriving on Earth from the distant planet Krypton, Clark does not know what the reasons for such strength are and for what purposes it should be used. Growing up with the moral values ??passed down by his adoptive parents, Martha (Diane Lane) and Jonathan (Kevin Costner), Clark soon finds himself discovering that having super skills means making decisions that are very difficult and bigger than him. In fact, when the world finds itself under attack, Clark is called to decide which side to stand, whether to fight to restore order or to put his powers at the service of the thirst for conquest and power. To actually become Superman, he will need to transform himself into the reference point of the whole world and, above all, of those he loves."
27,2013-07-02,The Lone Ranger,225000000,89302115,260002115,29210849,PG-13,Western,3904,149,2013,135.0,United States,Gore Verbinski,6.1,5.9,6.0,"Tonto (Johnny Depp), a Native American with a warrior spirit, recounts the never-revealed backstories that transformed John Reid (Armie Hammer) from a man of law into the Lonely Knight, a legend of justice. On a moving train, in front of an enthusiastic audience, Tonto retraces step by step the epic adventure that allowed him and Reid, as unlikely heroes, to meet and get to know each other, working and fighting together against greed and the corruption."
28,2012-04-11,Battleship,220000000,65233400,313477717,25534825,PG-13,Action,3702,130,2012,131.0,United States,Peter Berg,4.7,4.64,5.0,"To save the planet from the attack of a superior force, the US military brings into play the best forces in the sector to fight a war that sees the military involved on every front: land, sky and sea. Admiral of the Navy Shane (Liam Neeson) goes the task of coordinating the operations of the two largest warships, entrusted to the commands of the officer Alex Hopper (Taylor Kitsch), the boyfriend of his daughter Sam (Brooklyn Decler), and of the commanding officer Stone (Alexander Skarsgård), Alex's older brother."
29,2017-06-20,Transformers: The Last Knight,217000000,130168683,602893340,44680073,PG-13,Action,4132,148,2017,148.0,United States,Michael Bay,3.4,3.11,4.0,"Humans and Transformers are at war. Optimus Prime is not there and the key to safeguarding the future is buried in the secrets of the past, in the hidden history of the Transformers on Earth. The salvation of the world rests on the shoulders of an unlikely alliance between Cade Yeager, Bumblebee, an English lord and an Oxford professor."
30,2015-06-09,Jurassic World,215000000,652306625,1669979967,208806270,PG-13,Action,4291,124,2015,124.0,United States,Colin Trevorrow,5.7,5.91,6.0,"Twenty-two years after the events recounted in Jurassic Park, the island of Nublar has a fully functional dinosaur theme park. The park, representative of the Jurassic world, is finally as John Hammond originally designed it. Not everything, however, is destined to go smoothly due to the creation of a new hybrid dinosaur, responsible for a series of accidents."
31,2006-05-26,X-Men: The Last Stand,210000000,234362462,459260946,102750665,PG-13,Action,3714,104,2006,103.0,United States,Brett Ratner,5.9,5.85,6.0,"Having discovered a cure for mutants, the hunt for the X-Men reopens: this time, the plot revolves mainly around the resurrection and fall of Jean Gray, who became a Phoenix, very dangerous and almost omnipotent mutant ..."
32,2010-05-14,Robin Hood,210000000,105487148,322459006,36063385,PG-13,Action,3505,139,1991,103.0,"Canada, Germany, Great Britain, United States",John Irvin,5.5,5.5,6.0,"In England, the orphan of Richard the Lionheart, the Saxon Count Robert Hode (Bergin) collides with the Norman Sir Miles Folcanet (Prochnow). What's worse is that Sir Miles is betrothed to young Marian (Thurman) and even Robert is not insensitive to the girl's charms. Thrown into prison, Robert manages to escape and take refuge in Sherwood Forest where, assuming the name of Robin Hood, he puts together a small army. Paremnte poor of the superproduction played by Kevin Costner. The problem is that he would like to make people laugh (with a comedy that at times is inspired by that of the Bond films) and he can't. The second problem is that Bergin is the office and looks a lot more dumb than Costner. The third that Thurman, generally measured, here exaggerates not a little. Apart from these minor details, and apart from Irvin's anonymous direction, the film lets itself be seen."
33,2010-05-14,Robin Hood,210000000,105487148,322459006,36063385,PG-13,Action,3505,139,1973,83.0,United States,Wolfgang Reitherman,7.9,7.76,8.0,"Robin Hood (a fox) and faithful Little John (a bear) fight against the throne usurper and greedy Prince John (a lion) and his minions (the snake Bitz and the wolf, Sheriff of Nottingham). Twice the heroes steal heavy tax money from Prince John and redistribute it to the poor. In addition, Robin, disguised as a stork, manages to win the shooting competition which has a kiss from Lady Marian (a fox) as a prize."
34,2010-05-14,Robin Hood,210000000,105487148,322459006,36063385,PG-13,Action,3505,139,2010,140.0,"United States, Great Britain",Ridley Scott,5.8,5.77,6.0,"Historical rewriting of the legend of Robin Hood, archer in the service of King Richard the Lionheart, who later became a central figure of British folklore. Starting with the death of King Richard at the siege of Châlus Chabrol Castle, the film follows the events that led Robin Hood to take sides and fight against the English barons and the new King John."
35,2010-05-14,Robin Hood,210000000,105487148,322459006,36063385,PG-13,Action,3505,139,2018,117.0,United States,Otto Bathurst,4.1,3.33,5.0,"Upon returning from the Crusades, Robin of Loxley (Taron Egerton) discovers that the entire county of Nottingham is dominated by corruption. The injustice and poverty in which his people live push him to plot to organize a daring revolt against the mighty Crown of England. But to do so, he needs a mentor: a skilful and contemptuous commander known during the war (Jamie Foxx). Thanks to him, the reckless Robin will become the legendary Robin Hood and, perhaps, he will also try to regain a love he believed lost."
36,2018-11-21,Robin Hood,99000000,30824628,85210012,36063385,PG-13,Action,3505,139,1991,103.0,"Canada, Germany, Great Britain, United States",John Irvin,5.5,5.5,6.0,"In England, the orphan of Richard the Lionheart, the Saxon Count Robert Hode (Bergin) collides with the Norman Sir Miles Folcanet (Prochnow). What's worse is that Sir Miles is betrothed to young Marian (Thurman) and even Robert is not insensitive to the girl's charms. Thrown into prison, Robert manages to escape and take refuge in Sherwood Forest where, assuming the name of Robin Hood, he puts together a small army. Paremnte poor of the superproduction played by Kevin Costner. The problem is that he would like to make people laugh (with a comedy that at times is inspired by that of the Bond films) and he can't. The second problem is that Bergin is the office and looks a lot more dumb than Costner. The third that Thurman, generally measured, here exaggerates not a little. Apart from these minor details, and apart from Irvin's anonymous direction, the film lets itself be seen."
37,2018-11-21,Robin Hood,99000000,30824628,85210012,36063385,PG-13,Action,3505,139,1973,83.0,United States,Wolfgang Reitherman,7.9,7.76,8.0,"Robin Hood (a fox) and faithful Little John (a bear) fight against the throne usurper and greedy Prince John (a lion) and his minions (the snake Bitz and the wolf, Sheriff of Nottingham). Twice the heroes steal heavy tax money from Prince John and redistribute it to the poor. In addition, Robin, disguised as a stork, manages to win the shooting competition which has a kiss from Lady Marian (a fox) as a prize."
38,2018-11-21,Robin Hood,99000000,30824628,85210012,36063385,PG-13,Action,3505,139,2010,140.0,"United States, Great Britain",Ridley Scott,5.8,5.77,6.0,"Historical rewriting of the legend of Robin Hood, archer in the service of King Richard the Lionheart, who later became a central figure of British folklore. Starting with the death of King Richard at the siege of Châlus Chabrol Castle, the film follows the events that led Robin Hood to take sides and fight against the English barons and the new King John."
39,2018-11-21,Robin Hood,99000000,30824628,85210012,36063385,PG-13,Action,3505,139,2018,117.0,United States,Otto Bathurst,4.1,3.33,5.0,"Upon returning from the Crusades, Robin of Loxley (Taron Egerton) discovers that the entire county of Nottingham is dominated by corruption. The injustice and poverty in which his people live push him to plot to organize a daring revolt against the mighty Crown of England. But to do so, he needs a mentor: a skilful and contemptuous commander known during the war (Jamie Foxx). Thanks to him, the reckless Robin will become the legendary Robin Hood and, perhaps, he will also try to regain a love he believed lost."
40,2005-12-14,King Kong,207000000,218080025,550517357,50130145,PG-13,Adventure,3627,189,1933,95.0,United States,"Merian C. Cooper, Ernest B. Schoedsack",8.2,8.22,8.0,"A film producer reaches an unknown island where the natives worship a giant ape. With him there is also a girl who the natives kidnap and offer to the animal. Contrary to usual, he does not kill the woman, but takes her to his hiding place and defends her from other giant animals. The white men, however, imprison the ape and transport him to New Yor to exhibit him for a fee, but here, when King Kong sees the girl again ..."
41,2005-12-14,King Kong,207000000,218080025,550517357,50130145,PG-13,Adventure,3627,189,1976,135.0,United States,John Guillermin,6.0,5.89,6.0,"An expedition goes to an unknown island to look for oil. The explorers are joined by a young paleontologist and Dwan, an actress rescued from a shipwreck. The island is inhabited. The natives kidnap Dwan and offer her to their deity: a huge gorilla. The men from the expedition free Dwan and capture Kong. Back in New York, they exhibit the ape but he escapes with the girl looking for an unlikely safety on the World Trade Center towers."
42,2005-12-14,King Kong,207000000,218080025,550517357,50130145,PG-13,Adventure,3627,189,2005,187.0,United States,Peter Jackson,7.1,7.19,7.0,"1930s: Director Carl Denham moves to the Skull Islands, near Sumatra, to shoot a documentary. Arriving there, the crew discover the King Kong gorilla, who lives in a jungle where some prehistoric creatures have been protected and hidden for millions of years. When Kong meets the beautiful Ann Darrow, he succumbs to her charm and ends up being captured and transported to New York, where he is locked up in a cage and exhibited to the crowd. But then..."
43,2007-12-07,The Golden Compass,205000000,70107728,367262558,25783232,PG-13,Adventure,3528,113,2007,113.0,United States,Chris Weitz,5.8,5.86,6.0,"A host of an English college, 11-year-old Lyra is an enterprising child who has a ""daimon"", an animal spirit who is always by her side. When some kids disappear, Lyra sets off with the beautiful Mrs. Coulter for the Arctic, to a place populated by fantastic and fearsome creatures."
44,2020-08-26,Tenet,205000000,58504105,362450957,20001852,PG-13,Action,2930,110,2020,150.0,"Great Britain, United States",Christopher Nolan,6.1,6.07,6.0,"Armed with a single word - Tenet - and fighting for the world's survival, the Protagonist is involved in a mission through the twilight world of international espionage, which will take place beyond real time. Not a journey through time but an inversion of the flow of time."
45,2021-12-14,Spider-Man: No Way Home,200000000,814108407,1912775610,260138569,PG-13,Action,4336,148,2021,150.0,United States,Jon Watts,5.5,5.08,6.0,"For the first time in its history, Spider-Man is unmasked and can no longer separate his private life from the great responsibilities of being a superhero. When he asks for the help of Dr. Strange to restore him the secret, the spell opens a gash in their world, freeing the most powerful enemies ever faced by a spider-man in any universe. Now Peter will have to overcome his greatest challenge, which will not only change his future forever, but also that of the multiverse."
46,2018-02-13,Black Panther,200000000,700059566,1336494321,202003951,PG-13,Action,4084,120,2018,134.0,United States,Ryan Coogler,5.7,5.83,6.0,"King T'Challa, the hero known as Black Panther, returns home to the technologically advanced African nation of Wakanda to serve his country as the new leader. However, he soon discovers that in order to protect the throne and avoid a civil war, he must seek the support of Everett K. Ross, a CIA agent, and members of the Dora Milaje, the Wakanada special forces."
47,1997-12-18,Titanic,200000000,659363944,2207986545,28638131,PG-13,Drama,3265,194,1997,194.0,United States,James Cameron,7.6,7.58,8.0,"A crew tries to recover a diamond from the wreck of the Titanic, and goes to the only survivor. Flashback. Rose is a young aristocrat who travels in the first class of the Titanic, while Jack is a handsome, penniless painter who sails crammed into third class. The two will no longer be able to leave and challenge social conventions to the last. Meanwhile the Titanic sinks."
48,1997-12-18,Titanic,200000000,659363944,2207986545,28638131,PG-13,Drama,3265,194,1953,98.0,United States,Jean Negulesco,6.6,7.0,6.0,"Under the pretext of taking a vacation, Giulia embarks with her children Annette and Norman on the ocean liner Titanic departing from the port of Southampton for her maiden voyage. In reality, her aim is to save the two children from the influence of her husband Richard. The man, however, realizing the situation manages to find a place on the ship. Giulia tells her husband that Norman is not her son, but the result of an occasional adventure. Meanwhile, the cursed night of April 14 (and the iceberg) is approaching."
49,1997-12-18,Titanic,200000000,659363944,2207986545,28638131,PG-13,Drama,3265,194,1996,90.0,United States,Robert Lieberman,6.8,7.0,7.0,"Isabella Paradine and Wynn Park are two of the many passengers on the Titanic, the colossal and unsinkable ship that was shipwrecked in 1912 during the maiden voyage. The film begins with the launch and the joy of the first part of the journey. Everything seems to be going very well and nobody notices the gloomy atmosphere that hangs over this traveling company. This TV-movie burned Cameron's giant over time, but nobody noticed it. Made in a hurry, it is an unwatchable meatloaf."
50,1997-12-18,Titanic,200000000,659363944,2207986545,28638131,PG-13,Drama,3265,194,1943,82.0,Germany,"Herbert Selpin, Werner Klingler",5.3,6.0,5.0,"Sir Ismay, president of the White Star Line, is very confident in the maiden voyage of the Titanic, the largest ocean liner in the world. For this reason he pushes Captain Smith to reach New York as quickly as possible. But the tragedy is lurking ..."
51,2018-06-15,Incredibles 2,200000000,608581744,1242805359,182687905,PG,Adventure,4413,118,2018,118.0,United States,Brad Bird,7.2,7.15,7.0,"All the spotlight is on Helen, while Bob stays at home with Violetta and Dash to face the daily challenges of a ""normal"" life. It will be a difficult change for everyone, especially as the family is still oblivious to little Jack-Jack's superpowers. When a new villain hatches an evil and brilliant plan, all family members along with Frozone will have to join forces again… easier said than done, even if they are all Incredible."
52,2016-12-14,Rogue One: A Star Wars Story,200000000,533539991,1055083596,155081681,PG-13,Adventure,4157,134,2016,133.0,United States,Gareth Edwards,7.0,7.24,7.0,A motley group of rebel fighters sets out in a desperate attempt to steal the plans of the Death Star and thereby prevent it from gaining ground and power.
53,2016-06-16,Finding Dory,200000000,486295561,1025006125,135060273,PG,Adventure,4305,103,2016,100.0,United States,"Andrew Stanton, Angus MacLane",6.9,7.23,7.0,"Dory lives happily at the reef with Nemo and Marlin. When Dory suddenly remembers that she has a family who may be looking for her, the three decide to go on an extraordinary adventure across the ocean that will lead them to the prestigious Marine Life Institute in California: an aquarium that is also a rehabilitation center. To find her mother and father, Dory will ask for help from the three most extravagant inhabitants of the place."
54,2019-06-20,Toy Story 4,200000000,434038008,1073080329,120908065,G,Adventure,4575,89,2019,99.0,United States,Josh Cooley,7.0,6.83,7.0,"Woody has always known his place in the world and his priority has always been taking care of his baby, whether it was Andy or Bonnie. When Forky, Bonnie's new school project turned into a toy, calls itself “junk” and not a toy, Woody decides to show him the positives of this new life. But when Bonnie takes the whole gang of toys with her on a trip with her family, Woody makes an unexpected detour, which leads him to find his long-lost friend, Bo Peep. After spending years on his own, Bo's adventurous spirit and life on the road have ruined his porcelain. Woody and Bo will find that their respective toy lives are now polar opposites, but they soon realize that this is the least of their problems."
55,2010-06-18,Toy Story 3,200000000,415004880,1068879522,110307189,G,Adventure,4028,102,2010,103.0,United States,Lee Unkrich,8.4,8.48,8.0,"Andy is now grown up and is about to leave for college. While putting his beloved toys in an attic box he finds Woody and Buzz and decides to take Woody with him. By mistake, however, the box is exchanged by the garbage collector for garbage and loaded onto the garbage truck. Only Woody notices it but fails in his rescue attempt. For the toys, a series of adventures begin, destined to culminate in a heroic escape towards new destinies."
56,2022-05-04,Doctor Strange in the Multiverse of Madness,200000000,411331607,952224986,187420998,PG-13,Action,4534,126,2022,126.0,United States,Sam Raimi,6.1,6.0,6.0,"After the events that occurred in Avengers: Endgame (2019), Dr. Stephen Strange continues his searches for the gem of time. But an old friend who turned into enemy will try to annihilate every wizard on Earth, complicating Strange's plans and inducing him to unleash an unspeakable evil."
57,2013-04-24,Iron Man 3,200000000,408992272,1215392272,174144585,PG-13,Action,4253,130,2013,140.0,"United States, China",Shane Black,5.6,5.45,6.0,"Tony Stark and his alter ego Iron Man find themselves facing a new enemy who knows no bounds. When Stark finds his personal world destroyed at the hands of his rival, he embarks on a harrowing mission to find the one responsible. Testing his courage and with his back to the wall, Stark is forced to use his strengths and abilities alone to survive and protect those closest to him. As he fights, he also discovers the answer to the question that has always haunted him in secret: is it man who makes armor or is it armor that makes man?"
58,2004-06-30,Spider-Man 2,200000000,373524485,794697557,88156227,PG-13,Adventure,4166,127,2004,128.0,United States,Sam Raimi,7.1,7.3,7.0,"It's been two years since Peter Parker decided to give up Mary Jane, the girl he has always loved, to be Spider-Man. Meanwhile, his friend Harry Osborne is always determined to avenge his father's death by killing Spider-Man. Peter decides to try to be a normal person, but when a new enemy, Doctor Octopus, threatens the city, he feels he has to do something ..."
59,2022-03-01,The Batman,200000000,369345583,767820302,134008624,PG-13,Action,4417,175,2022,175.0,United States,Matt Reeves,6.6,6.25,7.0,"Bruce Wayne, guarding the city under the appearance of Batman, for two years has sowed terror among the criminals but ended up living in the shade. He only supported by a few faithful allies. Alfred Pennyworth and Commissioner James Gordon - the task of opposing the administration and power to become the only means of redemption and revenge of his fellow citizens took over the shoulders. While a sadistic murderer with unknown identity has as its objective the members of the Gotham City elite, Batman follows some enigmatic clues that lead him to explore the undergrowth of the citizens. When the tests begin to be striking by revealing a conspiracy, Batman will have to tighten new friends to unmask the culprit and clean up the city of conspirators and corrupt."
